data,campanha_id,plataforma,nome_campanha,gasto,impressoes,cliques
2026-05-01,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,211.59,19413,272
2026-05-02,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,144.16,20406,467
2026-05-03,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,122.08,14592,126
2026-05-04,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,143.42,17981,154
2026-05-05,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,140.21,18997,379
2026-05-06,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,143.71,18861,486
2026-05-07,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,109.05,15965,372
2026-05-08,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,163.12,16456,478
2026-05-09,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,162.53,15682,158
2026-05-10,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,205.8,30149,725
2026-05-11,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,194.87,30812,503
2026-05-12,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,197.43,29231,631
2026-05-13,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,247.6,32290,758
2026-05-14,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,115.42,12229,175
2026-05-15,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,120.93,12854,131
2026-05-16,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,153.03,20582,329
2026-05-17,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,141.94,15427,441
2026-05-18,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,212.98,28249,332
2026-05-19,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,226.12,22937,374
2026-05-20,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,268.3,36166,732
2026-05-21,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,218.91,32617,817
2026-05-22,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,145.11,13385,199
2026-05-23,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,151.37,15858,455
2026-05-24,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,158.98,21602,360
2026-05-25,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,256.16,31282,432
2026-05-26,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,147.95,19129,263
2026-05-27,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,202.7,30982,520
2026-05-28,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,143.53,22940,440
2026-05-29,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,122.73,11450,119
2026-05-30,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,209.65,30492,527
2026-06-01,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,169.82,27125,532
2026-06-02,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,265.31,39864,328
2026-06-03,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,224.76,30953,613
2026-06-04,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,151.23,20395,213
2026-06-05,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,178.43,21725,629
2026-06-06,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,249.89,27097,515
2026-06-08,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,255.85,38617,562
2026-06-09,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,211.51,28052,318
2026-06-10,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,231.53,29579,743
2026-06-11,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,193.92,17460,264
2026-06-12,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,111.16,17233,471
2026-06-13,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,242.73,27070,251
2026-06-14,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,261.41,25094,469
2026-06-15,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,119.21,17075,424
2026-06-16,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,128.8,15877,319
2026-06-17,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,150.94,22802,394
2026-06-18,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,142.31,18180,437
2026-06-19,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,140.59,15720,469
2026-06-20,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,213.28,25735,498
2026-06-22,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,144.4,16413,343
2026-06-23,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,145.28,15314,146
2026-06-24,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,210.24,22290,622
2026-06-25,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,247.26,23479,310
2026-06-26,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,216.37,22718,247
2026-06-27,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,259.55,33734,620
2026-06-28,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,238.81,24675,250
2026-06-29,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,177.83,21277,388
2026-06-30,cmp_001,Meta,PLANEJADOS_COZINHA_FRIO,226.11,31007,919
2026-05-01,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,123.94,14647,226
2026-05-02,cmp_002,Meta,PLANEJADOS_DORMITORIO_FRIO,247.59,26592,324
