venda_id,lead_id,data_fechamento,valor_contrato
VD501,LD1016,2026-06-12,16087.75
VD502,LD1187,2026-07-29,63789.2
VD503,LD1191,2026-06-27,21802.05
VD504,LD1293,2026-06-21,15701.89
VD505,LD1280,2026-07-24,47786.14
VD506,LD1396,2026-08-04,61476.18
VD507,LD1414,2026-07-15,16953.45
VD508,LD1412,2026-07-07,19425.45
VD509,LD1189,2026-08-04,28838.51
VD510,LD1294,2026-07-23,44909.27
VD511,LD1424,2026-06-29,62891.47
VD512,LD1238,2026-06-04,19480.36
VD513,LD1381,2026-06-29,42567.74
VD514,LD1011,2026-08-11,32301.72
VD515,LD1128,2026-06-26,70635.04
VD516,LD1049,2026-08-08,75624.1
VD517,LD1269,2026-08-01,59065.89
VD518,LD1382,2026-07-25,36211.82
VD519,LD1271,2026-08-13,51122.22
VD520,LD1192,2026-06-05,40225.66
VD521,LD1389,2026-07-13,28039.54
VD522,LD1145,2026-06-09,18596.89
VD523,LD1436,2026-06-02,29461.37
VD524,LD1292,2026-08-15,19632.95
VD525,LD1281,2026-08-14,40104.27
VD526,LD1438,2026-08-05,32827.49
VD527,LD1422,2026-05-26,53942.64
VD528,LD1266,2026-08-18,55164.3
VD529,LD1416,2026-07-29,26405.48
VD530,LD1460,2026-09-01,38942.71
VD531,LD1200,2026-06-09,44892.25
VD532,LD1261,2026-09-17,62295.82
VD533,LD1229,2026-07-27,33385.76
VD534,LD1408,2026-09-18,30830.01
VD535,LD1188,2026-06-20,21547.64
VD536,LD1290,2026-05-31,68637.16
VD537,LD1217,2026-08-23,33950.13
VD538,LD1193,2026-08-23,23093.41
VD539,LD1296,2026-06-25,21409.21
VD540,LD1004,2026-06-03,28567.59
VD541,LD1132,2026-07-13,27706.68
VD542,LD1302,2026-08-16,57995.26
VD543,LD1180,2026-07-24,20523.69
VD544,LD1427,2026-07-06,30909.64
VD545,LD1299,2026-07-19,31380.98
VD546,LD1308,2026-05-19,27220.42
VD547,LD1289,2026-06-26,16978.97
VD548,LD1208,2026-07-25,18722.11
VD549,LD1265,2026-07-09,27923.87
